,year,month,month_sin,month_cos,buying_sessions,label,spent_money,spent_money_first_month,spent_money_second_month,buying_events_first_month,buying_events_second_month,all_events_first_month,all_events_second_month
0,2022,1,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2022,3,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2022,2,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2022,2,0.8660254037844386,0.5000000000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2022,3,1.0,6.123233995736766e-17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2022,1,0.49999999999999994,0.8660254037844387,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
20,2022,2,0.8660254037844386,0.5000000000000001,4.0,0.0,755.9,129.0,589.0,0.0,1.0,0.0,17.0
21,2022,3,1.0,6.123233995736766e-17,4.0,0.0,755.9,129.0,589.0,0.0,0.0,0.0,0.0
24,2022,1,0.49999999999999994,0.8660254037844387,6.0,0.0,381.98,235.0,43.99,2.0,0.0,12.0,0.0
25,2022,3,1.0,6.123233995736766e-17,6.0,0.0,381.98,235.0,43.99,0.0,0.0,0.0,0.0
26,2022,2,0.8660254037844386,0.5000000000000001,6.0,0.0,381.98,235.0,43.99,0.0,1.0,0.0,5.0
29,2022,1,0.49999999999999994,0.8660254037844387,4.0,0.0,478.0,399.0,79.0,1.0,0.0,15.0,0.0
30,2022,3,1.0,6.123233995736766e-17,4.0,0.0,478.0,399.0,79.0,0.0,0.0,0.0,0.0
31,2022,2,0.8660254037844386,0.5000000000000001,4.0,0.0,478.0,399.0,79.0,0.0,1.0,0.0,15.0
36,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,794.0,794.0,0.0,2.0,0.0,16.0,0.0
39,2022,3,1.0,6.123233995736766e-17,3.0,0.0,794.0,794.0,0.0,0.0,0.0,0.0,0.0
49,2022,1,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
58,2022,2,0.8660254037844386,0.5000000000000001,3.0,0.0,186.98000000000002,43.99,142.99,0.0,2.0,0.0,12.0
59,2022,3,1.0,6.123233995736766e-17,3.0,0.0,186.98000000000002,43.99,142.99,0.0,0.0,0.0,0.0
61,2022,1,0.49999999999999994,0.8660254037844387,3.0,0.0,186.98000000000002,43.99,142.99,1.0,0.0,8.0,0.0
68,2022,3,1.0,6.123233995736766e-17,6.0,1.0,1399.99,247.0,43.99,0.0,0.0,0.0,0.0
72,2022,2,0.8660254037844386,0.5000000000000001,6.0,1.0,1399.99,247.0,43.99,0.0,1.0,0.0,6.0
74,2022,1,0.49999999999999994,0.8660254037844387,6.0,1.0,1399.99,247.0,43.99,1.0,0.0,20.0,0.0
78,2022,2,0.8660254037844386,0.5000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2022,1,0.49999999999999994,0.8660254037844387,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2022,3,1.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2022,2,0.8660254037844386,0.5000000000000001,3.0,0.0,1099.0,0.0,429.0,0.0,1.0,0.0,7.0
