,year,buying_events_month_x,buying_events_month_y,all_events_month_x,all_events_month_y,first_month_sin,first_month_cos,spent_money_first_month,spent_money_second_month,label
0,2019,3,1.0,12,19.0,-1.0,-1.8369701987210297e-16,659.94,548.97,0
1,2019,1,0.0,9,0.0,-1.0,-1.8369701987210297e-16,259.0,0.0,0
2,2019,2,0.0,8,19.0,-1.0,-1.8369701987210297e-16,256.1,0.0,1
3,2019,2,1.0,24,8.0,-1.0,-1.8369701987210297e-16,203.98,249.0,1
4,2019,1,1.0,6,14.0,-1.0,-1.8369701987210297e-16,68.09,619.0,1
5,2019,1,0.0,8,14.0,-1.0,-1.8369701987210297e-16,249.0,0.0,0
6,2019,1,2.0,13,21.0,-1.0,-1.8369701987210297e-16,43.99,879.99,0
7,2019,1,1.0,11,8.0,-1.0,-1.8369701987210297e-16,247.0,26.8,0
8,2019,1,0.0,8,5.0,-1.0,-1.8369701987210297e-16,58.99,0.0,0
9,2019,1,0.0,3,5.0,-1.0,-1.8369701987210297e-16,629.74,0.0,0
10,2019,1,0.0,2,0.0,-1.0,-1.8369701987210297e-16,680.0,0.0,0
11,2019,1,0.0,22,26.0,-1.0,-1.8369701987210297e-16,37.9,0.0,0
12,2019,1,0.0,2,1.0,-1.0,-1.8369701987210297e-16,77.0,0.0,0
13,2019,1,0.0,14,1.0,-1.0,-1.8369701987210297e-16,77.0,0.0,0
14,2019,2,0.0,13,0.0,-1.0,-1.8369701987210297e-16,77.99000000000001,0.0,0
15,2019,3,3.0,12,26.0,-1.0,-1.8369701987210297e-16,920.73,547.98,0
16,2019,1,1.0,13,9.0,-1.0,-1.8369701987210297e-16,277.0,14.6,0
17,2019,1,2.0,23,15.0,-1.0,-1.8369701987210297e-16,45.0,163.98000000000002,0
18,2019,1,0.0,11,0.0,-1.0,-1.8369701987210297e-16,199.99,0.0,0
19,2019,3,1.0,22,13.0,-1.0,-1.8369701987210297e-16,988.49,359.0,0
20,2019,1,0.0,19,15.0,-1.0,-1.8369701987210297e-16,111.13,0.0,1
21,2019,3,0.0,33,5.0,-1.0,-1.8369701987210297e-16,756.12,0.0,0
22,2019,1,2.0,14,16.0,-1.0,-1.8369701987210297e-16,225.99,1028.0,0
23,2019,1,0.0,8,0.0,-1.0,-1.8369701987210297e-16,114.0,0.0,0
0,2019,1,0.0,7,25.0,-0.866025403784439,0.49999999999999933,74.99,0.0,0
1,2019,1,2.0,11,8.0,-0.866025403784439,0.49999999999999933,629.74,537.99,0
2,2019,1,1.0,19,23.0,-0.866025403784439,0.49999999999999933,548.97,599.99,1
3,2019,5,0.0,22,5.0,-0.866025403784439,0.49999999999999933,1768.73,0.0,0
4,2019,1,0.0,7,9.0,-0.866025403784439,0.49999999999999933,479.0,0.0,0
5,2019,1,0.0,9,1.0,-0.866025403784439,0.49999999999999933,788.4,0.0,0
6,2019,1,0.0,34,3.0,-0.866025403784439,0.49999999999999933,680.0,0.0,0
7,2019,1,1.0,8,6.0,-0.866025403784439,0.49999999999999933,619.0,239.0,0
8,2019,1,2.0,2,20.0,-0.866025403784439,0.49999999999999933,680.0,1136.23,0
9,2019,1,2.0,8,6.0,-0.866025403784439,0.49999999999999933,249.0,706.74,0
10,2019,1,0.0,3,0.0,-0.866025403784439,0.49999999999999933,773.0,0.0,0
11,2019,1,2.0,14,23.0,-0.866025403784439,0.49999999999999933,619.0,850.0,0
12,2019,2,0.0,14,1.0,-0.866025403784439,0.49999999999999933,1033.9,0.0,0
13,2019,2,1.0,21,7.0,-0.866025403784439,0.49999999999999933,879.99,58.99,0
14,2019,1,0.0,8,6.0,-0.866025403784439,0.49999999999999933,26.8,0.0,1
15,2019,1,1.0,3,2.0,-0.866025403784439,0.49999999999999933,390.0,43.99,0
16,2019,2,2.0,7,5.0,-0.866025403784439,0.49999999999999933,733.9,617.04,0
17,2019,1,0.0,5,0.0,-0.866025403784439,0.49999999999999933,44.89,0.0,0
18,2019,2,0.0,11,12.0,-0.866025403784439,0.49999999999999933,889.0,0.0,0
19,2019,1,0.0,11,0.0,-0.866025403784439,0.49999999999999933,799.0,0.0,0
20,2019,1,0.0,5,19.0,-0.866025403784439,0.49999999999999933,197.0,0.0,1
21,2019,1,0.0,4,2.0,-0.866025403784439,0.49999999999999933,299.0,0.0,0
22,2019,3,1.0,26,2.0,-0.866025403784439,0.49999999999999933,547.98,99.99,1
23,2019,1,1.0,9,5.0,-0.866025403784439,0.49999999999999933,14.6,43.99,0
24,2019,1,0.0,16,3.0,-0.866025403784439,0.49999999999999933,789.13,0.0,1
25,2019,3,0.0,10,3.0,-0.866025403784439,0.49999999999999933,530.74,0.0,0
26,2019,1,0.0,8,0.0,-0.866025403784439,0.49999999999999933,719.0,0.0,0
27,2019,1,0.0,13,2.0,-0.866025403784439,0.49999999999999933,259.0,0.0,0
28,2019,2,1.0,16,13.0,-0.866025403784439,0.49999999999999933,1098.0,359.0,0
29,2019,1,0.0,12,5.0,-0.866025403784439,0.49999999999999933,670.0,0.0,0
30,2019,1,2.0,3,22.0,-0.866025403784439,0.49999999999999933,629.74,111.9,0
31,2019,2,0.0,15,0.0,-0.866025403784439,0.49999999999999933,163.98000000000002,0.0,0
32,2019,1,0.0,13,19.0,-0.866025403784439,0.49999999999999933,359.0,0.0,1
33,2019,2,0.0,11,1.0,-0.866025403784439,0.49999999999999933,78.9,0.0,0
34,2019,1,1.0,16,7.0,-0.866025403784439,0.49999999999999933,499.0,40.0,0
35,2019,1,0.0,6,0.0,-0.866025403784439,0.49999999999999933,728.0,0.0,0
36,2019,1,2.0,4,24.0,-0.866025403784439,0.49999999999999933,58.99,808.13,0
37,2019,1,0.0,13,9.0,-0.866025403784439,0.49999999999999933,77.0,0.0,0
38,2019,1,1.0,4,11.0,-0.866025403784439,0.49999999999999933,114.0,179.0,0
39,2019,2,0.0,8,9.0,-0.866025403784439,0.49999999999999933,872.99,0.0,0
40,2019,1,1.0,16,14.0,-0.866025403784439,0.49999999999999933,670.0,390.0,0
41,2019,2,0.0,16,0.0,-0.866025403784439,0.49999999999999933,1028.0,0.0,0
42,2019,1,0.0,2,0.0,-0.866025403784439,0.49999999999999933,699.0,0.0,0
43,2019,2,0.0,12,1.0,-0.866025403784439,0.49999999999999933,908.0,0.0,0
44,2019,2,0.0,18,5.0,-0.866025403784439,0.49999999999999933,998.75,0.0,0
45,2019,1,1.0,10,3.0,-0.866025403784439,0.49999999999999933,359.0,69.0,0
0,2019,1,0.0,19,0.0,-0.5000000000000004,0.8660254037844384,719.0,0.0,0
1,2019,2,0.0,8,0.0,-0.5000000000000004,0.8660254037844384,537.99,0.0,0
2,2019,1,0.0,5,2.0,-0.5000000000000004,0.8660254037844384,77.0,0.0,1
3,2019,1,4.0,23,25.0,-0.5000000000000004,0.8660254037844384,599.99,1234.76,0
4,2019,1,2.0,12,21.0,-0.5000000000000004,0.8660254037844384,429.0,652.99,1
5,2019,1,0.0,29,11.0,-0.5000000000000004,0.8660254037844384,43.99,0.0,0
6,2019,1,0.0,11,7.0,-0.5000000000000004,0.8660254037844384,29.19,0.0,0
7,2019,1,1.0,6,6.0,-0.5000000000000004,0.8660254037844384,58.99,69.0,0
8,2019,1,1.0,5,5.0,-0.5000000000000004,0.8660254037844384,40.0,548.97,0
9,2019,1,1.0,9,8.0,-0.5000000000000004,0.8660254037844384,279.99,719.0,0
10,2019,2,0.0,19,8.0,-0.5000000000000004,0.8660254037844384,742.99,0.0,0
11,2019,2,0.0,9,8.0,-0.5000000000000004,0.8660254037844384,153.89000000000001,0.0,1
12,2019,1,0.0,6,0.0,-0.5000000000000004,0.8660254037844384,239.0,0.0,0
13,2019,3,0.0,26,0.0,-0.5000000000000004,0.8660254037844384,1082.0,0.0,0
14,2019,1,0.0,6,0.0,-0.5000000000000004,0.8660254037844384,939.0,0.0,1
15,2019,2,0.0,20,1.0,-0.5000000000000004,0.8660254037844384,1136.23,0.0,0
16,2019,2,3.0,6,10.0,-0.5000000000000004,0.8660254037844384,706.74,333.99,1
17,2019,2,1.0,23,24.0,-0.5000000000000004,0.8660254037844384,850.0,789.13,0
18,2019,1,0.0,6,1.0,-0.5000000000000004,0.8660254037844384,14.23,0.0,0
19,2019,1,1.0,7,6.0,-0.5000000000000004,0.8660254037844384,58.99,74.99,0
20,2019,1,0.0,2,2.0,-0.5000000000000004,0.8660254037844384,548.97,0.0,1
21,2019,2,0.0,7,8.0,-0.5000000000000004,0.8660254037844384,191.0,0.0,1
22,2019,1,1.0,13,5.0,-0.5000000000000004,0.8660254037844384,40.0,429.0,0
23,2019,1,0.0,2,7.0,-0.5000000000000004,0.8660254037844384,43.99,0.0,0
24,2019,2,2.0,5,12.0,-0.5000000000000004,0.8660254037844384,617.04,568.87,0
25,2019,1,1.0,14,5.0,-0.5000000000000004,0.8660254037844384,43.99,29.99,1
26,2019,1,1.0,2,2.0,-0.5000000000000004,0.8660254037844384,58.99,680.0,0
27,2019,1,1.0,3,4.0,-0.5000000000000004,0.8660254037844384,95.0,99.99,0
28,2019,1,1.0,9,17.0,-0.5000000000000004,0.8660254037844384,299.0,139.0,0
29,2019,1,3.0,2,29.0,-0.5000000000000004,0.8660254037844384,99.99,949.99,1
30,2019,1,2.0,3,15.0,-0.5000000000000004,0.8660254037844384,40.0,720.0,0
31,2019,1,0.0,5,0.0,-0.5000000000000004,0.8660254037844384,43.99,0.0,1
32,2019,2,0.0,12,6.0,-0.5000000000000004,0.8660254037844384,745.97,0.0,0
33,2019,1,0.0,20,0.0,-0.5000000000000004,0.8660254037844384,449.0,0.0,0
34,2019,1,0.0,13,2.0,-0.5000000000000004,0.8660254037844384,359.0,0.0,0
35,2019,2,0.0,22,0.0,-0.5000000000000004,0.8660254037844384,111.9,0.0,1
36,2019,2,2.0,19,10.0,-0.5000000000000004,0.8660254037844384,228.0,324.0,0
37,2019,1,0.0,7,0.0,-0.5000000000000004,0.8660254037844384,40.0,0.0,1
38,2019,1,1.0,8,14.0,-0.5000000000000004,0.8660254037844384,43.99,440.0,1
39,2019,2,0.0,24,3.0,-0.5000000000000004,0.8660254037844384,808.13,0.0,0
40,2019,1,1.0,11,11.0,-0.5000000000000004,0.8660254037844384,179.0,125.0,0
41,2019,1,1.0,2,12.0,-0.5000000000000004,0.8660254037844384,140.99,548.97,1
42,2019,1,1.0,14,23.0,-0.5000000000000004,0.8660254037844384,390.0,74.99,0
43,2019,1,0.0,7,0.0,-0.5000000000000004,0.8660254037844384,479.0,0.0,0
44,2019,1,1.0,9,5.0,-0.5000000000000004,0.8660254037844384,44.0,114.0,0
45,2019,3,1.0,33,18.0,-0.5000000000000004,0.8660254037844384,523.98,174.95,0
46,2019,1,1.0,9,3.0,-0.5000000000000004,0.8660254037844384,277.0,77.0,0
47,2019,1,1.0,8,9.0,-0.5000000000000004,0.8660254037844384,499.0,670.83,0
48,2019,1,0.0,3,0.0,-0.5000000000000004,0.8660254037844384,69.0,0.0,0
49,2019,1,2.0,2,4.0,-0.5000000000000004,0.8660254037844384,548.97,583.87,0
0,2019,1,0.0,2,12.0,-2.4492935982947064e-16,1.0,99.99,0.0,0
1,2019,1,1.0,9,2.0,-2.4492935982947064e-16,1.0,77.0,77.0,1
2,2019,4,1.0,25,19.0,-2.4492935982947064e-16,1.0,1234.76,129.75,0
3,2019,1,0.0,2,0.0,-2.4492935982947064e-16,1.0,77.0,0.0,0
4,2019,2,1.0,21,12.0,-2.4492935982947064e-16,1.0,652.99,677.0,0
5,2019,2,2.0,15,15.0,-2.4492935982947064e-16,1.0,242.99,312.99,0
6,2019,1,0.0,15,0.0,-2.4492935982947064e-16,1.0,26.8,0.0,0
7,2019,1,0.0,6,9.0,-2.4492935982947064e-16,1.0,69.0,0.0,0
8,2019,1,0.0,5,18.0,-2.4492935982947064e-16,1.0,548.97,0.0,0
9,2019,1,1.0,8,16.0,-2.4492935982947064e-16,1.0,719.0,175.0,0
10,2019,1,0.0,24,0.0,-2.4492935982947064e-16,1.0,99.0,0.0,0
11,2019,3,1.0,10,23.0,-2.4492935982947064e-16,1.0,333.99,939.23,0
12,2019,2,1.0,16,4.0,-2.4492935982947064e-16,1.0,828.0,259.0,0
13,2019,1,0.0,24,6.0,-2.4492935982947064e-16,1.0,789.13,0.0,0
14,2019,2,2.0,22,13.0,-2.4492935982947064e-16,1.0,220.94,354.0,0
15,2019,1,1.0,16,8.0,-2.4492935982947064e-16,1.0,379.36,479.0,0
16,2019,1,0.0,6,10.0,-2.4492935982947064e-16,1.0,74.99,0.0,0
17,2019,1,1.0,35,3.0,-2.4492935982947064e-16,1.0,361.99,99.99,0
18,2019,1,0.0,15,1.0,-2.4492935982947064e-16,1.0,99.0,0.0,1
19,2019,1,0.0,2,2.0,-2.4492935982947064e-16,1.0,680.0,0.0,0
20,2019,2,2.0,25,10.0,-2.4492935982947064e-16,1.0,328.0,1222.0,0
21,2019,2,1.0,7,5.0,-2.4492935982947064e-16,1.0,1357.0,188.0,0
22,2019,1,0.0,3,13.0,-2.4492935982947064e-16,1.0,77.0,0.0,0
23,2019,3,0.0,23,9.0,-2.4492935982947064e-16,1.0,840.52,0.0,0
24,2019,3,1.0,20,3.0,-2.4492935982947064e-16,1.0,863.99,295.55,0
25,2019,1,0.0,5,0.0,-2.4492935982947064e-16,1.0,429.0,0.0,0
26,2019,2,0.0,11,1.0,-2.4492935982947064e-16,1.0,832.0,0.0,0
27,2019,1,0.0,24,2.0,-2.4492935982947064e-16,1.0,599.0,0.0,0
28,2019,1,1.0,5,10.0,-2.4492935982947064e-16,1.0,148.48,775.18,0
29,2019,1,0.0,8,15.0,-2.4492935982947064e-16,1.0,298.99,0.0,0
30,2019,2,2.0,12,10.0,-2.4492935982947064e-16,1.0,568.87,423.35,0
31,2019,1,0.0,16,2.0,-2.4492935982947064e-16,1.0,114.0,0.0,1
32,2019,1,1.0,5,12.0,-2.4492935982947064e-16,1.0,29.99,319.0,0
33,2019,1,0.0,32,7.0,-2.4492935982947064e-16,1.0,68.99,0.0,0
34,2019,1,0.0,13,1.0,-2.4492935982947064e-16,1.0,99.99,0.0,0
35,2019,2,1.0,18,7.0,-2.4492935982947064e-16,1.0,629.1800000000001,188.0,1
36,2019,1,2.0,2,16.0,-2.4492935982947064e-16,1.0,680.0,188.55,0
37,2019,1,0.0,4,0.0,-2.4492935982947064e-16,1.0,99.99,0.0,1
39,2019,1,1.0,17,14.0,-2.4492935982947064e-16,1.0,139.0,199.0,0
40,2019,3,1.0,29,28.0,-2.4492935982947064e-16,1.0,949.99,655.3,0
41,2019,2,1.0,15,12.0,-2.4492935982947064e-16,1.0,720.0,58.99,1
42,2019,2,0.0,6,0.0,-2.4492935982947064e-16,1.0,172.0,0.0,0
43,2019,2,0.0,6,3.0,-2.4492935982947064e-16,1.0,592.96,0.0,0
44,2019,1,2.0,5,13.0,-2.4492935982947064e-16,1.0,174.95,998.99,0
45,2019,1,0.0,2,8.0,-2.4492935982947064e-16,1.0,129.55,0.0,0
46,2019,1,0.0,12,0.0,-2.4492935982947064e-16,1.0,249.0,0.0,1
47,2019,3,1.0,25,17.0,-2.4492935982947064e-16,1.0,868.98,43.99,0
48,2019,2,1.0,10,10.0,-2.4492935982947064e-16,1.0,324.0,58.99,0
49,2019,1,2.0,3,22.0,-2.4492935982947064e-16,1.0,95.0,77.99000000000001,0
50,2019,1,1.0,14,7.0,-2.4492935982947064e-16,1.0,440.0,773.0,0
51,2019,1,0.0,11,6.0,-2.4492935982947064e-16,1.0,125.0,0.0,0
52,2019,1,3.0,12,19.0,-2.4492935982947064e-16,1.0,548.97,1169.99,0
53,2019,2,1.0,29,21.0,-2.4492935982947064e-16,1.0,127.99000000000001,79.0,0
54,2019,1,0.0,23,17.0,-2.4492935982947064e-16,1.0,74.99,0.0,0
55,2019,1,0.0,5,2.0,-2.4492935982947064e-16,1.0,114.0,0.0,0
56,2019,1,0.0,4,2.0,-2.4492935982947064e-16,1.0,630.0,0.0,0
57,2019,1,0.0,18,0.0,-2.4492935982947064e-16,1.0,174.95,0.0,1
58,2019,1,0.0,3,11.0,-2.4492935982947064e-16,1.0,763.0,0.0,0
